location,population,date,HighestInfectionCount,PercentPopulationInfected
Andorra,77265,4/30/2021,13232,17.1254772536077
Andorra,77265,4/29/2021,13198,17.0814728531677
Andorra,77265,4/28/2021,13148,17.0167604995794
Andorra,77265,4/27/2021,13121,16.9818158286417
Andorra,77265,4/26/2021,13083,16.9326344399146
Andorra,77265,4/25/2021,13060,16.902866757264
Andorra,77265,4/24/2021,13024,16.8562738626804
Andorra,77265,4/23/2021,13007,16.8342716624604
Andorra,77265,4/22/2021,12942,16.7501456027956
Andorra,77265,4/21/2021,12917,16.7177894260014
Andorra,77265,4/20/2021,12874,16.6621368019155
Andorra,77265,4/18/2021,12805,16.5728337539636
Andorra,77265,4/19/2021,12805,16.5728337539636
Andorra,77265,4/17/2021,12771,16.5288293535236
Andorra,77265,4/16/2021,12712,16.4524687762894
Andorra,77265,4/14/2021,12641,16.360577234194
Andorra,77265,4/15/2021,12641,16.360577234194
Andorra,77265,4/13/2021,12614,16.3256325632563
Andorra,77265,4/12/2021,12581,16.282922409888
Andorra,77265,4/11/2021,12545,16.2363295153045
Andorra,77265,4/10/2021,12497,16.1742056558597
Andorra,77265,4/9/2021,12456,16.1211415259173
Andorra,77265,4/8/2021,12409,16.0603119135443
Andorra,77265,4/7/2021,12363,16.0007765482431
Andorra,77265,4/6/2021,12328,15.9554779007312
Andorra,77265,4/5/2021,12286,15.9011195237171
Andorra,77265,4/4/2021,12231,15.8299359347699
Andorra,77265,4/3/2021,12174,15.7561638516793
Andorra,77265,4/2/2021,12115,15.6798032744451
Andorra,77265,4/1/2021,12053,15.5995599559956
Andorra,77265,3/31/2021,12010,15.5439073319097
Montenegro,628062,4/30/2021,97389,15.5062716738156
Montenegro,628062,4/29/2021,97257,15.4852546404654
Andorra,77265,3/30/2021,11944,15.4584870251731
Montenegro,628062,4/28/2021,97080,15.4570727093822
Montenegro,628062,4/27/2021,96930,15.4331897169388
Montenegro,628062,4/26/2021,96779,15.4091475045457
Montenegro,628062,4/25/2021,96660,15.3902003305406
Andorra,77265,3/29/2021,11888,15.3860091891542
Montenegro,628062,4/24/2021,96499,15.3645659186513
Montenegro,628062,4/23/2021,96348,15.3405237062583
Andorra,77265,3/28/2021,11850,15.3368278004271
Montenegro,628062,4/22/2021,96187,15.314889294369
Montenegro,628062,4/21/2021,96048,15.2927577213715
Andorra,77265,3/27/2021,11809,15.2837636704847
Montenegro,628062,4/20/2021,95894,15.2682378491295
Montenegro,628062,4/19/2021,95695,15.2365530791546
Czechia,10708982,4/30/2021,1630758,15.2279460363273
Montenegro,628062,4/18/2021,95551,15.2136254064089
Czechia,10708982,4/29/2021,1628536,15.2071970986598
Montenegro,628062,4/17/2021,95377,15.1859211351746
Andorra,77265,3/26/2021,11732,15.1841066459587
Czechia,10708982,4/28/2021,1626033,15.1838241954277
Montenegro,628062,4/16/2021,95205,15.1585353038394
Czechia,10708982,4/27/2021,1622777,15.153419811519
Montenegro,628062,4/15/2021,95042,15.1325824520509
Czechia,10708982,4/26/2021,1620206,15.1294119272962
Andorra,77265,3/25/2021,11687,15.1258655277292
Czechia,10708982,4/25/2021,1619383,15.1217267897173
Czechia,10708982,4/24/2021,1618068,15.1094473779114
